frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
3202,נטען,was loaded / was claimed / we will claim,nit'an,,,
3203,מתקדמים,advance / advanced (m.pl.),mitkadmim,,,
3204,מפעל,plant / factory,mif'al,,,
3205,לאנשי,to the people of / for the people of,le'anshei,,,
3206,אמן,amen,amen,,,
3207,אמן,artist,oman,,,
3208,אמן,their mother (f.),iman,,,
3209,כלשהי,any / of any kind (f.s.),kolshehi,,,
3210,התרחש,happened (m.s.),hitrakhesh,,,
3211,גדלים,growing (m.pl.),gdelim,,,
3212,גדלים,sizes,gdalim,,,
3213,סיבה,reason,siba,,,
3214,הלאומנים,the nationalists,hale'umanim,,,
3215,פלישה,invasion,plisha,,,
3216,בלחימה,in combat,belekhima,,,
3217,בלחימה,in the combat,balekhima,,,
3218,תוכניתו,his plan / his program / his layout,tokhnito,,,
3219,נעצרו,were stopped / were arrested,ne'etsru,,,
3220,הוועדה,the committee / the commission,hava'ada,,,
3221,הסיבות,the reasons,hasibot,,,
3222,איחוד,union,ikhud,,,
3223,אוכלוסייה,population,ukhlusiya,,,
3224,מאמץ,effort,ma'amats,,,
3225,המלוכה,the kingdom / the kingship,hamelukha,,,
3226,המקומי,the local (m.s.),hamekomi,,,
3227,באזורי,in the areas of,be'ezorei,,,
3228,גדודי,regimental,gdudi,,,
3229,גדודי,regiments of,gdudei,,,
3230,במשקל,a weight of / by weight,bemishkal,,,
3231,חלקית,partially,khelkit,,,
3232,האישי,the personal / the private (m.s.),ha'ishi,,,
3233,החרב,the sword,hakherev,,,
3234,בדמוקרטיה,in democracy,bedemokratya,,,
3235,בדמוקרטיה,in the democracy,bademokratya,,,
3236,מחלת,disease of,makhalat,,,
3237,מהתקופה,from the period / from the era,mehatkufa,,,
3238,מנגנון,system / mechanism,manganon,,,
3239,לפעילות,to/for the activity,lape'ilut,,,
3240,לפעילות,to/for an activity,lepe'ilut,,,
3241,ומאוחר,and late,veme'ukhar,,,
3242,שחמט,chess,shakhmat,,,
3243,אפקט,effect,efekt,,,
3244,הינם,they are / are (m.),hinam,,,
3245,השתמש,used (m.s.),hishtamesh,,,
3246,הפילוסוף,the philosopher,hafilosof,,,
3247,ההיסטורי,the historical (m.s.),hahistori,,,
3248,הדמויות,the shapes / the figures / the characters,hadmuyot,,,
3249,רמות,heights / levels,ramot,,,
3250,ציורי,artistic / figurative,tsiyuri,,,
3251,בדגל,[in] a flag,bedegel,,,
3252,בדגל,[in] the flag,badegel,,,
3253,הבימה,the stage,habima,,,
3254,הציונות,Zionism,hatsiyonut,,,
3255,רשימה,list,reshima,,,
3256,להפקת,for the production of,lehafakat,,,
3257,אקלים,climate,aklim,,,
3258,האוניברסיטה,the university,ha'universita,,,
3259,מדעי,scientific,mada'i,,,
3260,לימודיו,his studies,limudav,,,
3261,בתחרות,in competition,betakharut,,,
3262,בתחרות,in the competition,batakharut,,,
3263,ארסנל,arsenal,arsenal,,,
3264,חן,grace / charm,khen,,,
3265,והנה,and here is,vehine,,,
3266,חפץ,object,khefets,,,
3267,חפץ,want (m.s.),khafets,,,
3268,חפץ,wanted (m.s.),khafats,,,
3269,רעה,bad (f.s.) / grazed (sheep) (m.s.),ra'a,,,
3270,לבד,alone,levad,,,
3271,כליל,totally / entirely / completely,klil,,,
3272,משרה,job / position,misra,,,
3273,משרה,marinade,mishra,,,
3274,משרה,inspires / induces / marinades (m.s.),mashre,,,
3275,משרה,inspires / induces / marinades (f.s.),mashra,,,
3276,בתוכו,inside him/it,betokho,,,
3277,טעם,flavor / taste / reason,ta'am,,,
3278,טעם,tasted (m.s.),ta'am,,,
3279,הכהן,the priest / the Cohen,hakohen,,,
3280,העלה,raised / increased / lifted / brought up (m.s.),he'ela,,,
3281,נותן,gives (m.s.),noten,,,
3282,ונראה,and it seems / and visible / and apparent / and we will see,venir'e,,,
3283,ונראה,and seemed / and was visible / and was apparent,venir'a,,,
3284,החולה,the patient / the sick,hakhole,,,
3285,הגברים,the men,hagvarim,,,
3286,לכבוד,for / in honor of / on the occasion of,likhvod,,,
3287,עור,skin,or,,,
3288,מגרש,field / yard,migrash,,,
3289,לפתוח,to open,liftoakh,,,
3290,ואולם,but/ however / and a hall,ve'ulam,,,
3291,הגשר,the bridge,hagesher,,,
3292,רצח,murder,retsakh,,,
3293,רצח,murdered (m.s.),ratsakh,,,
3294,שדות,fields,sadot,,,
3295,עזרה,help / assistance / aid,ezra,,,
3296,כהה,dark,kehe,,,
3297,הוציא,spent / took out / published (m.s.),hotsi,,,
3298,הצמחים,the plants,hatsmakhim,,,
3299,הסמוכים,the near / the confident (m.pl.),hasmukhim,,,
3300,דור,generation,dor,,,
3301,נושאים,subjects / carriers / carry / marry (m.pl.),nos'im,,,
3302,משרדי,my office / clerical / ministerial,misradi,,,
3303,משרדי,the offices of,misradei,,,
3304,משרדי,my offices,misradai,,,
3305,מחסור,shortage / lack / deficiency,makhsor,,,
3306,מגלה,discovers (m.s.),megale,,,
3307,קדם,old / ancient / east,kedem,,,
3308,קדם,preceded,kadam,,,
3309,קדם,pre-,kdam,,,
3310,אגם,lake,agam,,,
3311,המשורר,the poet,hameshorer,,,
3312,השרירים,the muscles,hashririm,,,
3313,העבר,the past,ha'avar,,,
3314,העבר,pass / transfer (m.s. impertaive),ha'aver,,,
3315,הרשמי,the official,harishmi,,,
3316,בנשק,with weapon,beneshek,,,
3317,בנשק,with the weapon,baneshek,,,
3318,צור,rock / cliff,tsur,,,
3319,נהג,driver / drove / used to (m.s.),nahag,,,
3320,נדרש,required,nidrash,,,
3321,לניצחון,to/for a victory,lenitsakhon,,,
3322,לניצחון,to/for the victory,lanitsakhon,,,
3323,כבשו,occupied / conquered (pl.),kavshu,,,
3324,קורבנות,victims,korbanot,,,
3325,החומות,the walls,hakhomot,,,
3326,גנרל,general,general,,,
3327,בוצעו,were performed,buts'u,,,
3328,מפקדי,the commanders of,mefakdei,,,
3329,מפקדי,the censuses of / the musters of,nifkadei,,,
3330,לכיבוש,to an occupation,lekibush,,,
3331,לכיבוש,to the occupation,lakibush,,,
3332,תומכי,the supporters of,tomkhei,,,
3333,לשלוט,to rule / to control,lishlot,,,
3334,למטרות,to/for goals / to/for targets,lematarot,,,
3335,למטרות,to/for the goals / to/for the targets,lamatarot,,,
3336,למטרות,to/for the goals of / to/for the targets of,lematrot,,,
3337,הכיכר,the square / the loaf,hakikar,,,
3338,מתח,tension / suspense / voltage / trapeze,metakh,,,
3339,מתח,stretched (m.s.),matakh,,,
3340,חל,occurs,khal,,,
3341,הקשרים,the ties / the bonds / the links / the connections,haksharim,,,
3342,הקשרים,contexts,heksherim,,,
3343,הכרזת,the proclamation of / the announcement of / the declaration of,hakhrazat,,,
3344,מתקדם,advance / advanced (m.s.),mitkadem,,,
3345,מחבר,connects / links / author (m.s.),mekhaber,,,
3346,מחבר,connector,makhber,,,
3347,מחבר,from a friend,mekhaver,,,
3348,לשינוי,to/for the change,lashinui,,,
3349,לשינוי,to/for a change,leshinui,,,
3350,לזהות,to identify,lezahot,,,
3351,פסל,statue / sculpture,pesel,,,
3352,פסל,sculptor / rejected / disqualified (m.s.),pasal,,,
3353,המונח,the term / that is placed / that is laid / that is lying,hamunakh,,,
3354,המקובל,the accepted / the conventional / the popular (m.s.),hamekubal,,,
3355,הספרות,the literature,hasifrut,,,
3356,הספרות,the hairdressing,hasaparut,,,
3357,הספרות,the digits,hasfarot,,,
3358,טלוויזיה,television,televizya,,,
3359,ממוצע,average (m.s.),memutsa,,,
3360,שזכה,that/who won (m.s.),shezakha,,,
3361,שכבות,layers,shkhavot,,,
3362,פגיעות,hits / impacts / damages / offenses,pgi'ot,,,
3363,השפות,the languages / the edges,hasafot,,,
3364,האש,the fire,ha'esh,,,
3365,הכתיבה,the writing,haktiva,,,
3366,הבדלים,differences,hevdelim,,,
3367,הריצה,the run,haritsa,,,
3368,הריצה,ran [something] (f.s.),heritsa,,,
3369,מוזכר,mentioned (m.s.),muzkar,,,
3370,מפלס,level,miflas,,,
3371,מפלס,breaks through / levels (v.) (m.s.),mefales,,,
3372,גופים,bodies,gufim,,,
3373,המאפיינים,the characteristics,hame'afyenim,,,
3374,גנטית,genetic (f.s.),genetit,,,
3375,האלמוגים,the corals,ha'almogim,,,
3376,הזבובים,the flies,hazvuvim,,,
3377,בקרבי,in me,bekirbi,,,
3378,צחק,laughed (m.s.),tsakhak,,,
3379,מכיר,recognizes / familiar with (m.s.),mekir,,,
3380,קולי,my voice,koli,,,
3381,השמים,the sky,hashamayim,,,
3382,צילום,photograph / photography,tsilum,,,
3383,נמסר,was delivered / was handed (m.s.),nimsar,,,
3384,שייך,belongs / relevant (m.s.),shayakh,,,
3385,במה,in what / how,bame,,,
3386,קוראים,readers / read / call (m.pl.),kor'im,,,
3387,באדמה,in the ground,ba'adama,,,
3388,באדמה,in soil / in a ground,be'adama,,,
3389,צמח,plant,tsemakh,,,
3390,צר,narrow / enemy / lays siege to / created / shaped / sorry (m.s.),tsar,,,
3391,נשארו,remained / were left / stayed (pl.),nish'aru,,,
3392,מהרה,soon,mehera,,,
3393,שבאו,that/who came (pl.),sheba'u,,,
3394,קלות,easy / light weight / slightly (f.pl.),kalot,,,
3395,ענפי,branches of / fields of,anfei,,,
3396,שומר,guard / keeps / protects (m.s.),shomer,,,
3397,שחורים,black (m.pl.),skhorim,,,
3398,עסקים,business,asakim,,,
3399,זמני,temporary (m.) / my time,zmani,,,
3400,שנייה,second,shniya,,,
3401,זכאי,innocent / eligible,zakai,,,
3402,התייחס,referred to / applied (m.s.),hityakhes,,,
3403,הטילו,cast / threw / projected / laid eggs (pl.),hetilu,,,
3404,וכאשר,and when / and while,veka'asher,,,
3405,חמור,donkey,khamor,,,
3406,חמור,serious / severe (m.s.),khamur,,,
3407,אפשרית,possible (f.s.),efsharit,,,
3408,אנושי,humane (m.s.),enoshi,,,
3409,החליטה,decided (f.s.),hekhlita,,,
3410,הזכות,the right / the privilege,hazkhut,,,
3411,הדומה,the similar (m.s.),hadome,,,
3412,במהרה,soon,bimhera,,,
3413,רד,come down (m.s. imperative),red,,,
3414,מכאן,from here,mikan,,,
3415,מסמר,nail,masmer,,,
3416,לרב,to/for the rabbi,larav,,,
3417,לרב,to/for a rabbi,lerav,,,
3418,לרב,mostly / in most cases / usually,larov,,,
3419,לנוע,to move,lanu'a,,,
3420,שהביאו,that/who brought (pl.),shehevi'u,,,
3421,קשת,arch / bow / rainbow / curvature,keshet,,,
3422,קשת,Sagittarius,kashat,,,
3423,קרקע,soil / ground / land,karka,,,
3424,פרצו,broke into / broke out / burst (pl.),partsu,,,
3425,עלילה,plot / deed / libel / false charge,alila,,,
3426,אובדן,loss,ovdan,,,
3427,אוסף,collection,osef,,,
3428,אוסף,collect (m.s.),osef,,,
3429,כישלון,failure,kishalon,,,
3430,המזרחית,the eastern (f.s.),hamizrakhit,,,
3431,הבשר,the meat,habasar,,,
3432,דמיון,imagination / fantasy / resemblance,dimyon,,,
3433,גול,goal,gol,,,
3434,סיפורים,stories,sipurim,,,
3435,נע,moves (m.s.),na,,,
3436,כשיר,qualified / eligible / able,kashir,,,
3437,תגבורת,reinforcement / contingent,tigboret,,,
3438,השבויים,the prisoners (of war),hashvuyim,,,
3439,נסוגו,withdrew / retreated (pl.),nasogu,,,
3440,הרוגים,casualties,harugim,,,
3441,מטוסים,airplanes,metosim,,,
3442,הקצינים,the officers,haktsinim,,,
3443,מפרץ,bay,mifrats,,,
3444,הוצאו,were spent / ware taken out / were published,huts'u,,,
3445,שפות,languages / edges,safot,,,
3446,שפות,the languages of / the edges of,sfot,,,
3447,צו,order,tsav,,,
3448,מלכותו,his kingship,malkhuto,,,
3449,מלכותו,His Majesty,[hod] malkhuto,,,
3450,הבמאי,the director,habamai,,,
3451,ליברלית,liberal,liberalit,,,
3452,ובראשם,and they are/were led by (m.pl.),uverosham,,,
3453,ובנוסף,and in addition,uvnosaf,,,
3454,בשיתוף,in collaboration / in cooperation / in participation,beshituf,,,
3455,להופיע,to appear / to perform,lehofi'a,,,
3456,לבניית,for the building of,livniyat,,,
3457,קטע,segment / section,keta,,,
3458,המקומות,the places,hamekomot,,,
3459,האמנים,the artists,ha'omanim,,,
3460,לימודי,of study / tutorial,limudi,,,
3461,לימודי,the studies of,limudei,,,
3462,לימודי,my studies,limudai,,,
3463,להבחין,to observe,lehavkhin,,,
3464,תכונות,characters / attributes,tkhunot,,,
3465,וזכה,and won (m.s.),vezakha,,,
3466,וזכה,and pure (f.s.),vezaka,,,
3467,פיצוץ,explosion,pitsuts,,,
3468,עבודת,work of,avodat,,,
3469,אימונים,training / practice,imunim,,,
3470,המתחם,the site / the defined area,hamitkham,,,
3471,הבינוני,the medium / the mediocre,habeynoni,,,
3472,העיוורים,the blind (pl.),ha'ivrim,,,
3473,יציאת,exit of,yesti'at,,,
3474,בתחומי,in the fields of / in the areas of / in the ranges of,bitkhumei,,,
3475,הפקת,production of,hafakat,,,
3476,האבל,the mourning,ha'evel,,,
3477,האבל,the mourner,ha'avel,,,
3478,אלבום,album,albom,,,
3479,מרתון,marathon,maraton,,,
3480,המירוץ,the race,hameruts,,,
3481,הסיף,the sward / the fencing,hasayif,,,
3482,מאומה,nothing,me'uma,,,
3483,הכבוד,the honor / the glory / the respect / the dignity,hakavod,,,
3484,הנסיכה,the princess,hanesikha,,,
3485,בהחלט,certainly,behekhlet,,,
3486,הקן,the nest,haken,,,
3487,יבוא,will come (m.s.),yavo,,,
3488,תוכל,you will be able / she will be able,tukhal,,,
3489,עשתה,did (f.s.),asta,,,
3490,השחרור,the liberation,hashikhrur,,,
3491,רצו,wanted (pl.),ratsu,,,
3492,רצו,ran (pl.),ratsu,,,
3493,כתוב,written (m.s.),katuv,,,
3494,כתוב,write (m.s. imperative),ktov,,,
3495,הראה,showed (m.s.),her'a,,,
3496,יורד,goes down / comes down / descends / decreases (m.s.),yored,,,
3497,לפניו,before him / in front of him / to/for his face,lefanav,,,
3498,עוברים,pass / cross / go through (m.pl.),ovrim,,,
3499,הכריזה,proclaimed / announced / declared (f.s.),hikhriza,,,
3500,הבעיה,the problem,habe'aya,,,
3501,נוח,comfortable (m.s.),noakh,,,
3502,יחדיו,together,yakhdav,,,
3503,לוותר,to give up / to waive,levater,,,
3504,לחיים,for life / to life,lekhayim,,,
3505,לחיים,cheers,lekhayim,,,
3506,לחיים,to the life / for the life / for the living,lakhayim,,,
3507,פינוי,evacuation,pinui,,,
3508,גופו,his body,gufo,,,
3509,בכנסת,at the Knesset,bakneset,,,
3510,מנהל,manager / manages (m.s.),menahel,,,
3511,מנהל,administration / management,minhal,,,
3512,להתייחס,to refer,lehityakhes,,,
3513,דרומית,southern (f.s.),dromit,,,
3514,גבולות,borders / limits,gvulot,,,
3515,מטרה,goal / target,matara,,,
3516,לשלב,to combine / to integrate,leshalev,,,
3517,לשלב,to/for the stage / to/for the phase / to/for the rung,lashalav,,,
3518,לשלב,to/for a stage / to/for a phase / to/for a rung,leshalav,,,
3519,לדרום,to the south,ladarom,,,
3520,לדרום,to the south,ledarom,,,
3521,לדרום,to the south of,lidrom,,,
3522,וידאו,video,vidyo,,,
3523,שחרור,liberation / release,shikhrur,,,
3524,פגעו,hit / damaged / offended (pl.),pag'u,,,
3525,איי,the islands of,iyei,,,
3526,המוזיקה,the music,hamuzika,,,
3527,המקרים,the cases / the events / the incidents,hamikrim,,,
3528,הקדוש,the holy (m.s.),hakadosh,,,
3529,הכניסה,the entrance,haknisa,,,
3530,הכניסה,inserted / entered (f.s.),hikhnisa,,,
3531,הספורט,the sport,hasport,,,
3532,בראיון,in an interview,bere'ayon,,,
3533,בראיון,in the interview,bare'ayon,,,
3534,בצורות,in shapes / in forms,betsurot,,,
3535,בצורות,in the shapes / in the forms,batsurot,,,
3536,בסביבה,in the area,basviva,,,
3537,מתקפה,attack,mitkafa,,,
3538,הדיוויזיה,the division,hadivizya,,,
3539,הביצורים,the fortifications,habitsurim,,,
3540,במחנות,in camps / in groups,bemakhanot,,,
3541,במחנות,in the camps / in the groups,bamakhanot,,,
3542,החוקה,the constitution,hakhuka,,,
3543,במערכה,in a battle / in a campaign / in an act,bema'arakha,,,
3544,במערכה,in the battle / in the campaign / in the act,bama'arakha,,,
3545,לברית,for a pact / for a alliance / for a covenant / for a circumcision,lebrit,,,
3546,לברית,for the pact / for the alliance / for the covenant / for the circumcision,labrit,,,
3547,החזיקו,held / kept / owned (pl.),hekheziku,,,
3548,עסקו,dealt / engaged / worked (pl.),asku,,,
3549,הידועה,the known (f.s.),hayedu'a,,,
3550,בכיוון,in a direction / in an adjustment / in tuning,bekivun,,,
3551,בכיוון,the the direction / in the adjustment / in the tuning,bakivun,,,
3552,ממלכת,the kingdom of,mamlekhet,,,
3553,מסמכים,documents,mismakhim,,,
3554,ואילך,[from now] on,va'eilakh,,,
3555,שקיבלו,that/who received / that/who accepted (pl.),shekiblu,,,
3556,עמם,their nation / their people,amam,,,
3557,עמם,with them,imam,,,
3558,טקס,ceremony,tekes,,,
3559,פריצת,breakthrough of / burglary of / irruption of,pritsat,,,
3560,היסטוריים,historical (m.pl.),historiyim,,,
3561,הפגיעה,the hit / the impact / the damage / the offense,hapgi'a,,,
3562,גרעין,grain / nucleus,gar'in,,,
3563,ביצירת,in the formation of / in the creation of / in the artistic work of / in the composition of,biytsirat,,,
3564,מכיל,contains (m.s.),mekhil,,,
3565,תחומי,fields of / areas of / ranges of,tkhumei,,,
3566,תאוריה,theory,te'orya,,,
3567,שכתב,who wrote (m.s.) / that was written by,shekatav,,,
3568,המסלול,the course / the path / the track,hamaslul,,,
3569,הרבים,the many (m.pl.),harabim,,,
3570,יישוב,settlement,yishuv,,,
3571,הרובע,the quarter,harova,,,
3572,בתקופות,in periods / in eras,betkufot,,,
3573,בתקופות,in the periods / in the eras,batkufot,,,
3574,לפיתוח,for development,lepitu'akh,,,
3575,לפיתוח,for the development,lapitu'akh,,,
3576,קולנוע,cinema,kolno'a,,,
3577,בהשפעת,under the influence of / under the effect of,behashpa'at,,,
3578,מדע,science,mada,,,
3579,הטבעית,the natural (f.s.),hativ'it,,,
3580,הדיפלומטיה,the diplomacy,hadiplomatya,,,
3581,סופרים,count (m.pl.) / authors,sofrim,,,
3582,מחקרים,researches / studies,mekhkarim,,,
3583,הפסלים,the statues / the sculptures,hapsalim,,,
3584,בחקר,in the research of,bekheker,,,
3585,בסוג,in a kind / in a class / in a type,besug,,,
3586,שרירים,muscles,shririm,,,
3587,הזכר,the memory,hazekher,,,
3588,הזכר,the male,hazakhar,,,
3589,שריקה,whistle,shrika,,,
3590,יודעת,know (f.s.),yoda'at,,,
3591,חושבת,think (f.s.),khoshevet,,,
3592,שמעתי,I heard,shamati,,,
3593,אומרת,say (f.s.),omeret,,,
3594,איזו,which / what (f.),eizo,,,
3595,הרעב,the hunger,hara'av,,,
3596,הרעב,the hungry,hara'ev,,,
3597,לפנים,forward / before / in the past,lefanim,,,
3598,לפנים,for a face,lepanim,,,
3599,לפנים,for the face,lapanim,,,
3600,יקרה,prestige,yukra,,,
3601,ויהי,and there was / and there shall be (biblical),vayehi,,,
3602,קרונות,cars (of a train) / wagons,kronot,,,
3603,לאיש,to/for a man / to/for a person,le'ish,,,
3604,לאיש,to/for the man / to/for the person,la'ish,,,
3605,מאמין,believes / believer (m.s.),ma'amin,,,
3606,הנס,the miracle,hanes,,,
3607,שמחה,joy / happiness,simkha,,,
3608,שמחה,glad / happy (f.s.),smekha,,,
3609,שמחה,was glad / was happy (f.s.),samkha,,,
3610,רגליו,his legs,raglav,,,
3611,תפוחי,apples of,tapukhei,,,
3612,בצל,onion,batsal,,,
3613,בצל,in the shadow,batsel,,,
3614,בצל,in the shadow of,betsel,,,
3615,להכיר,to know / to recognize,lehakir,,,
3616,לנהל,to manage,lenahel,,,
3617,פונה,turns (m.s.),pone,,,
3618,פונה,turns (f.s.),pona,,,
3619,פונה,was evacuated (m.s.),puna,,,
3620,ביד,in a hand,beyad,,,
3621,ביד,in the hand / by hand,bayad,,,
3622,המחנה,the camp / the group,hamakhane,,,
3623,חלקה,smooth (f.),khalaka,,,
3624,חלקה,shared / disagreed / differed (f.s.),khalka,,,
3625,חלקה,lot,khelka,,,
3626,רשות,permission,reshut,,,
3627,רשות,authority,rashut,,,
3628,משכן,dwelling,mishkan,,,
3629,לציון,to note / to mark / to point out / to grade,letsiyun,,,
3630,לציון,to Zion,letsiyon,,,
3631,שוק,market,shuk,,,
3632,שוק,shock / leg,shok,,,
3633,פינה,corner,pina,,,
3634,עורך,editor / arranges / holds (m.s.),orekh,,,
3635,אביה,her father,aviha,,,
3636,אבי,my father / the father of,avi,,,
3637,כראש,as a head / as the head of,kerosh,,,
3638,ביתו,his home,beito,,,
3639,ספינה,ship,sfina,,,
3640,נוהגים,drive / do usually (m.pl.),nohagim,,,
3641,משמשת,is used for (f.s.),meshameshet,,,
3642,לתמוך,to support,litmokh,,,
3643,להיכנס,to enter,lehikanes,,,
3644,שהפך,that inverted / that converted / that turned / that become / that transformed (m.s.),shehafakh,,,
3645,שהחל,that started (m.s.),shehekhel,,,
3646,שנערכו,who prepared / who made arrangements / that were held / that were edited (pl.),shene'erkhu,,,
3647,עצמאית,independent (f.s.),atsma'it,,,
3648,איבדו,lost (pl.),ibdu,,,
3649,חזה,watched / prophesied,khaza,,,
3650,חזה,chest / breast,khaze,,,
3651,אסון,disaster,ason,,,
3652,הוצגו,were introduced / were displayed / were presented / were exhibited (pl.),hutsgu,,,
3653,החוקי,the legal (m.s.),hakhuki,,,
3654,הגמר,the end / the final,hagmar,,,
3655,באמצעים,by means,be'emtsa'im,,,
3656,בחלקו,in part / in his part,bekhelko,,,
3657,צהוב,yellow,tsahov,,,
3658,כוחותיו,his powers / his forces / his strengths,kokhotav,,,
3659,ההתקדמות,the progress,hahitkadmut,,,
3660,לקבלת,for receiving / for the acceptance of,lekabalat,,,
3661,במרד,[in] a rebellion,bemered,,,
3662,במרד,[in] the rebellion,bamered,,,
3663,סחר,commerce / trade,sakhar,,,
3664,סחר,traded (m.s.),sakhar,,,
3665,השמאל,the left,hasmol,,,
3666,נרחבים,wide / broad (m.pl.),nirkhavim,,,
3667,שינה,sleep,sheina,,,
3668,כלכלי,economic (m.s.),kalkali,,,
3669,טענות,claims / arguments,ta'anot,,,
3670,מסיבה,for a reason [of] / party,mesiba,,,
3671,שהוקם,that was established (m.s.),shehukam,,,
3672,האזורים,the areas / the regions / the zones,ha'ezorim,,,
3673,נפטר,died / deceased / got rid of (m.s.),niftar,,,
3674,מקרב,brings closer (m.s.),mekarev,,,
3675,מקרב,from a battle,mikrav,,,
3676,השפיעה,had an effect / influenced (f.s.),hishpi'a,,,
3677,ברורה,clear / obvious (f.s.),brura,,,
3678,ספרות,literature,sifrut,,,
3679,ספרות,hair dressing,saparut,,,
3680,ספרות,digits,sfarot,,,
3681,עמק,valley,emek,,,
3682,ביטחון,security / confidence,bitakhon,,,
3683,בחלקים,in parts,bekhalakim,,,
3684,בהשוואה,compared,behashva'a,,,
3685,רחבי,transverse / lateral,rokhbi,,,
3686,תמונות,pictures,tmunot,,,
3687,תאוריות,theories,te'oryot,,,
3688,חלקו,shared (pl.),khalku,,,
3689,חלקו,his share / his part,khelko,,,
3690,הקשורים,that/who are tied / that/who are linked / that/who are connected (m.pl.),hakshurim,,,
3691,העוסקים,that/who deal / that/who engage / work (m.pl.),ha'oskim,,,
3692,בימינו,these days,beyameinu,,,
3693,סניף,branch,snif,,,
3694,יהודיים,Jewish (m.pl.),yehudiyim,,,
3695,הציוני,the Zionist (m.s.),hatsiyoni,,,
3696,רבן,rabbi / their rabbi (f.),raban,,,
3697,בולטת,protruding / stands out (f.s.),boletet,,,
3698,נמנים,are included [in] / are counted (m.pl.),nimnim,,,
3699,בממוצע,on average,bememutsa,,,
3700,עלילת,plot of / deed of / libel of / false charge of,alilat,,,
3701,בתחרויות,in competitions,betakhruyot,,,
3702,הטבעיים,the natural (m.pl.),hativ'iyim,,,
3703,סרטי,movies of,sirtei,,,
3704,רכיבה,riding,rekhiva,,,
3705,פשוטי,the simple of,pshutei,,,
3706,פשוטי,the working class,pshutei [ha'am],,,
3707,המכניקה,the mechanics,hamekhanika,,,
3708,חייבת,must / debtor (f.s.),khayevet,,,
3709,אינך,you are not,einkha,,,
3710,מסודר,organized (m.s.),mesudar,,,
3711,להאמין,to believe,leha'amin,,,
3712,הגבעה,the hill,hagiv'a,,,
3713,שמנה,fat (adj.) (f.s.),shmena,,,
3714,שקל,weighed (m.s.),shakal,,,
3715,שקל,Shekel (the Israeli currency),shekel,,,
3716,ניר,plowed field,nir,,,
3717,לשאול,to ask / to borrow,lish'ol,,,
3718,הילד,the child / the boy,hayeled,,,
3719,התחיל,started (m.s.),hitkhil,,,
3720,מזל,luck,mazal,,,
3721,סעיף,clause,sa'if,,,
3722,מיץ,juice,mits,,,
3723,לאחרונה,lately,la'akhrona,,,
3724,אמיתי,real (m.s.),amiti,,,
3725,לחדור,to penetrate / to intrude,lakhdor,,,
3726,עוזר,helps / assists / assistant (m.s.),ozer,,,
3727,המתאים,the suitable / the appropriate / the applicable / the identical (m.s.),hamat'im,,,
3728,הלכו,walked / went (pl.),halkhu,,,
3729,השמן,the fat (adj.) (m.s.),hashamen,,,
3730,השמן,the oil,hashemen,,,
3731,הזכרים,the males,hazkharim,,,
3732,בינתיים,meanwhile,beintayim,,,
3733,בערך,approximately / around / sort of,be'erekh,,,
3734,ליל,the night of,leyl,,,
3735,ליל,night,layil,,,
3736,להעלות,to raise / to increase / to lift / to bring up,leha'alot,,,
3737,שורה,line,shura,,,
3738,עונה,season / answers (f.s.),ona,,,
3739,זרם,current / flow / stream / trend,zerem,,,
3740,היקום,the universe,hayekum,,,
3741,השקט,the silence,hasheket,,,
3742,החלב,the milk,hakhalav,,,
3743,החלב,the tallow,hakhelev,,,
3744,צדק,justice,tsedek,,,
3745,ארמון,palace,armon,,,
3746,המלח,the salt,hamelakh,,,
3747,המלח,the sailor,hamalakh,,,
3748,הסתיימה,ended (f.s.),histaima,,,
3749,ציין,noted / marked / pointed out (m.s.),tsiyen,,,
3750,סופית,final (f.s.),sofit,,,
3751,ממערב,from the west / to the west [of],mima'arav,,,
3752,מטרת,goal of / target of,matrat,,,
3753,לחצות,to cut in half / to cross,lakhatsot,,,
3754,לחצות,to midnight,lekhatsot,,,
3755,לסיום,finally / in conclusion,lesiyum,,,
3756,ולפיכך,and therefore,ulfikhakh,,,
3757,שירו,his song / his poem,shiro,,,
3758,שירו,sing (pl. imperative),shiru,,,
3759,שכבת,a layer of,shikhvat,,,
3760,פשוטים,simple (m.pl.),pshutim,,,
3761,כינה,called / named (m.s.) / louse,kina,,,
3762,כספים,finances,ksafim,,,
3763,המכון,the institute,hamakhon,,,
3764,הופעת,the appearance of / the performance of,hofa'at,,,
3765,הופעות,shows / performances,hofa'ot,,,
3766,השראה,inspiration,hashra'a,,,
3767,הפנימי,the internal (m.s.),hapnimi,,,
3768,הפנימי,internalize (f.s. imperative),hafnimi,,,
3769,הכדור,the ball / the pill,hakadur,,,
3770,הגזע,the trunk / the race / the stem,hageza,,,
3771,צד,side,tsad,,,
3772,סף,threshold / verge,saf,,,
3773,נמוכים,low / short (m.pl.),nemukhim,,,
3774,נוצרו,were formed / were created (f.s.),notsru,,,
3775,נכשלו,failed (pl.),nikhshelu,,,
3776,הצבאות,the armies,hatsva'ot,,,
3777,טבח,cook (n.),tabakh,,,
3778,טבח,slaughter,tevakh,,,
3779,לסגת,to withdraw / to retreat,laseget,,,
3780,השפלה,humiliation,hashpala,,,
3781,השפלה,the lowland / the plain,hashfela,,,
3782,לרשות,to the authority,larashut,,,
3783,פוליטיות,political (f.pl.),politiyot,,,
